State/UT,Newspaper Name,Language(s),Website
Assam,Asomiya Pratidin,Assamese,https://www.asomiyapratidin.in
Assam,Amar Asom,Assamese,https://amarasom.glpublications.in
Assam,Dainik Agradoot,Assamese,https://dainikagradoot.in
Assam,Niyomiya Barta,Assamese,https://niyomiyabarta.com
Assam,Dainik Asam,Assamese,https://dainikasam.assamtribune.com
Assam,The Assam Tribune,English,https://assamtribune.com
Assam,The Sentinel,English,https://www.sentinelassam.com
Assam,North East Times,English,http://net.glpublications.in
Mizoram,Vanglaini,Mizo,https://www.vanglaini.org
Mizoram,Zozam Times,Mizo,https://thezozamtimes.in
Mizoram,Zothlifim Daily,Mizo,https://zothlifim.com
Mizoram,The Aizawl Post,English,https://theaizawlpost.com
Meghalaya,Shillong Times,English,https://theshillongtimes.com
Meghalaya,Meghalaya Guardian,English,https://meghalayaguardian.com
Meghalaya,Mawphor,Khasi,https://mawphor.com
Meghalaya,U Nongsain Hima,Khasi,https://unongsainhima.com
Nagaland,Nagaland Post,English,https://nagalandpost.com
Nagaland,Morung Express,English,https://morungexpress.com
Nagaland,Eastern Mirror,English,https://easternmirrornagaland.com
Nagaland,Nagaland Page,English,https://nagalandpage.com
Nagaland,Ura Mail,English,http://www.urmail.com
Arunachal Pradesh,The Arunachal Times,English,https://arunachaltimes.in
Arunachal Pradesh,Echo of Arunachal,English,https://echoofarunachal.in
Arunachal Pradesh,Arunachal Observer,English,https://arunachalobserver.org
Tripura,Dainik Sambad,Bengali,https://dainiksambad.net
Tripura,Syandan Patrika,Bengali,https://syandanpatrika.com
Tripura,Desher Katha,Bengali,https://desherkatha.com
Tripura,Tripura Times,English,https://tripuratimes.com
Tripura,Tripura Observer,English,https://tripuraobserver.com
Manipur,Poknapham,Meitei,https://epaper.poknapham.in
Manipur,Sangai Express (Meitei),Meitei,https://sangaiexpress.com
Manipur,Sanaleibak,Meitei,http://sanaleibak.in
Manipur,The Sangai Express (EN),English,https://sangaiexpress.com
Manipur,Imphal Free Press,English,https://ifp.co.in
Sikkim,Sikkim Express,English,https://sikkimexpress.com
Sikkim,Aajako Yuva Shakti,Nepali,https://aajakoyuvasakti.com
Sikkim,Hamro Prajasakti,Nepali,https://hamroprajasakti.com
Sikkim,Sikkim Chronicle,Nepali,https://sikkimchronicle.com
Bihar,Hindustan (Patna),Hindi,https://www.livehindustan.com
Bihar,Dainik Jagran,Hindi,https://www.jagran.com
Bihar,Dainik Bhaskar,Hindi,https://www.bhaskar.com
Bihar,Prabhat Khabar,Hindi,https://www.prabhatkhabar.com
Bihar,Aaj,Hindi,https://www.aaj.in
Jharkhand,Prabhat Khabar,Hindi,https://www.prabhatkhabar.com
Jharkhand,Ranchi Express,Hindi,http://www.ranchiexpress.com
Jharkhand,Dainik Jagran (Jharkhand edition),Hindi,https://www.jagran.com
Jharkhand,Hindustan,Hindi,https://www.livehindustan.com
Odisha,Sambad,Odia,https://sambadepaper.com
Odisha,Dharitri,Odia,https://www.dharitri.com
Odisha,Samaj,Odia,https://www.samajaepaper.in
Odisha,Pragativadi,Odia,https://www.pragativadi.com
Odisha,Prameya,Odia,https://www.prameyanews.com
Odisha,Samaya,Odia,https://www.thesamayaepaper.com
West Bengal,Anandabazar Patrika,Bengali,https://www.anandabazar.com
West Bengal,Bartaman,Bengali,https://bartamanpatrika.com
West Bengal,Aajkaal,Bengali,https://aajkaal.in
West Bengal,Sangbad Pratidin,Bengali,https://www.sangbadpratidin.in
West Bengal,Ganashakti,Bengali,https://ganashakti.com
West Bengal,Ei Samay,Bengali,https://eisamay.com
West Bengal,The Telegraph,English,https://www.telegraphindia.com
West Bengal,The Statesman,English,https://www.thestatesman.com
Andhra Pradesh,Eenadu,Telugu,https://epaper.eenadu.net
Andhra Pradesh,Andhra Jyothy,Telugu,https://www.andhrajyothy.com
Andhra Pradesh,Sakshi,Telugu,https://epaper.sakshi.com
Andhra Pradesh,Andhra Bhoomi,Telugu,https://www.andhrabhoomi.net
Andhra Pradesh,Vaartha,Telugu,https://www.vaartha.com
Andhra Pradesh,Deccan Chronicle (AP editions),English,https://www.deccanchronicle.com
Andhra Pradesh,The Hans India,English,https://www.thehansindia.com
Telangana,Namasthe Telangana,Telugu,https://www.ntnews.com
Telangana,Telangana Today,English,https://telanganatoday.com
Telangana,Eenadu,Telugu,https://epaper.eenadu.net
Telangana,Sakshi,Telugu,https://epaper.sakshi.com
Telangana,Deccan Chronicle (Hyderabad),English,https://www.deccanchronicle.com
Telangana,The New Indian Express (Hyderabad),English,https://www.newindianexpress.com
Tamil Nadu,Daily Thanthi,Tamil,https://www.dailythanthi.com
Tamil Nadu,Dinamalar,Tamil,https://www.dinamalar.com
Tamil Nadu,Dinakaran,Tamil,https://www.dinakaran.com
Tamil Nadu,Dinamani,Tamil,https://www.dinamani.com
Tamil Nadu,Maalai Malar,Tamil,https://www.maalaimalar.com
Tamil Nadu,The Hindu (Tamil),Tamil,https://www.thehindu.com/tamil
Tamil Nadu,The Hindu,English,https://www.thehindu.com
Tamil Nadu,Deccan Chronicle (Chennai),English,https://www.deccanchronicle.com
Kerala,Malayala Manorama,Malayalam,https://www.manoramaonline.com
Kerala,Mathrubhumi,Malayalam,https://www.mathrubhumi.com
Kerala,Deshabhimani,Malayalam,https://www.deshabhimani.com
Kerala,Kerala Kaumudi,Malayalam,https://www.keralakaumudi.com
Kerala,Madhyamam,Malayalam,https://www.madhyamam.com
Kerala,Janmabhumi,Malayalam,https://www.janmabhumi.in
Kerala,The New Indian Express (Kochi edition),English,https://www.newindianexpress.com
Puducherry,Dinamalar (Puducherry edition),Tamil,https://www.dinamalar.com/news/puducherry
Puducherry,The Hindu (Tamil edition),Tamil,https://www.thehindu.com/tamil
Puducherry,Puduvai Seithigal,Tamil,https://www.py.gov.in
Lakshadweep,Lakshadweep Times,Malayalam/English,https://lakshadweep.gov.in/document-category/lak-times/
Andaman & Nicobar Islands,Andaman Chronicle,English,https://andamanchronicle.net/
Karnataka,Prajavani,Kannada,http://www.prajavani.net
Karnataka,Udayavani,Kannada,http://www.udayavani.com
Karnataka,Kannada Prabha,Kannada,http://www.kannadaprabha.com
Karnataka,Vijaya Karnataka,Kannada,https://vijaykarnataka.com
Karnataka,Samyukta Karnataka,Kannada,https://www.samyukthakarnataka.com
Karnataka,Star of Mysore,English,http://starofmysore.com
Karnataka,Mysooru Mithra,Kannada,https://mysurumithra.com
Gujarat,Divya Bhaskar,Gujarati,https://www.divyabhaskar.co.in
Gujarat,Gujarat Samachar,Gujarati,https://www.gujaratsamachar.com
Gujarat,Sandesh,Gujarati,https://www.sandesh.com
Gujarat,Akila Daily,Gujarati,https://www.akilanews.com
Chhattisgarh,Haribhoomi,Hindi,https://www.haribhoomi.com
Chhattisgarh,Deshbandhu,Hindi,https://www.deshbandhu.co.in
Chhattisgarh,Nava Bharat,Hindi,https://www.navabharat.news
Chhattisgarh,Patrika,Hindi,https://www.patrika.com
Madhya Pradesh,Nai Dunia,Hindi,https://www.naidunia.com
Madhya Pradesh,Patrika,Hindi,https://www.patrika.com
Madhya Pradesh,Dainik Bhaskar,Hindi,https://www.bhaskar.com
Madhya Pradesh,Raj Express,Hindi,https://www.rajexpress.co
Goa,The Navhind Times,English,https://www.navhindtimes.in
Goa,O Heraldo,English,https://www.heraldgoa.in
Goa,Gomantak Times,English,https://www.gomantaktimes.com
Goa,Tarun Bharat,Marathi,https://tarunbharat.com
Chandigarh,The Tribune,English,https://www.tribuneindia.com
Chandigarh,Dainik Tribune,Hindi,https://www.dainiktribuneonline.com
Chandigarh,Punjabi Tribune,Punjabi,https://www.punjabitribuneonline.com
Chandigarh,Daily Post,English,https://www.dailypost.in
Rajasthan,Rajasthan Patrika,Hindi,https://www.patrika.com
Rajasthan,Dainik Navajyoti,Hindi,https://www.dainiknavajyoti.net
Rajasthan,Rashtradoot,Hindi,https://www.rashtradoot.com
Rajasthan,Seema Sandesh,Hindi,https://seemasandesh.in
Delhi,The Pioneer,English,https://www.dailypioneer.com
Delhi,Sunday Guardian,English,https://www.sundayguardianlive.com
Delhi,Punjab Kesari,Hindi,https://www.punjabkesari.in
Himachal Pradesh,Amar Ujala (HP edition),Hindi,https://www.amarujala.com
Himachal Pradesh,Ajit Samachar,Hindi,https://www.ajitsamachar.com
Punjab,Jag Bani,Punjabi,https://www.jagbani.com
Punjab,Rozana Spokesman,Punjabi,https://www.rozanaspokesman.com
Punjab,Nawan Zamana,Punjabi,https://www.nawanzamana.in
Haryana,Hari Bhoomi,Hindi,https://www.haribhoomi.com
Haryana,Punjab Kesari (Haryana edition),Hindi,https://www.punjabkesari.in
Uttarakhand,Garhwal Post,English,https://garhwalpost.in
Jammu & Kashmir,Daily Excelsior,English,https://www.dailyexcelsior.com
Jammu & Kashmir,State Times,English,https://www.statetimes.in
Jammu & Kashmir,Kashmir Observer,English,https://kashmirobserver.net
Jammu & Kashmir,Early Times,English,https://www.earlytimes.in
Jammu & Kashmir,Kashmir Times,Urdu,https://www.kashmirtimes.com
Jammu & Kashmir,Srinagar Times,Urdu,https://srinagartimes.net
National,The Times of India,English,https://timesofindia.indiatimes.com
National,The Hindu,English,https://www.thehindu.com
National,The Indian Express,English,https://indianexpress.com
National,The Economic Times,English,https://economictimes.indiatimes.com
National,Mint,English,https://www.livemint.com
National,Business Standard,English,https://www.business-standard.com
National,The Asian Age,English,https://www.asianage.com
National,Deccan Herald,English,https://www.deccanherald.com
National,Mongabay India,"English, Hindi",https://india.mongabay.com
National,Down To Earth,"English, Hindi",https://www.downtoearth.org.in
National,Centre for Science and Environment,English,https://www.cseindia.org
National,Outlook Planet India,English,https://www.outlookbusiness.com/planet
National,Hindustan Times,English,https://www.hindustantimes.com
Uttar Pradesh (multi-state),Amar Ujala,Hindi,https://www.amarujala.com
Delhi / Mumbai,Navbharat Times,Hindi,https://navbharattimes.indiatimes.com
National,Jansatta,Hindi,https://epaper.jansatta.com
National,Financial Express,English,https://www.financialexpress.com
National,Business Line,English,https://www.thehindubusinessline.com
Karnataka,Deccan Herald (re-mapped),English,https://www.deccanherald.com